,Unnamed: 0,Id,Label,Degree,Pageranks,Eigencentrality,Package,FinalRiskScore,In_reach,Agg_RS),Agg_RS20),Agg_RS30),Agg_RS50),Agg_RS70)
0,0,0,gromacs-py-2.0.3,5,3.5e-05,0.0,gromacs-py,0.68386668,69,42.382530036000006,42.382530036000006,40.028849758,38.1133268,19.947302302999997
1,1,1,matplotlib-3.7.1,655,0.004566,0.303955,matplotlib,0.396813469,28,15.063771798999998,15.063771798999998,13.231879334999999,11.65393403,6.349394042
2,2,2,os-command-py-1.1.0,2,5e-05,0.000936,os-command-py,0.84753316,1,0.84753316,0.84753316,0.84753316,0.84753316,0.84753316
3,3,3,pandas-2.0.0,849,0.006316,0.40139,pandas,0.820746042,11,6.012481453999999,6.012481453999999,4.708011919,4.708011919,4.708011919
4,4,4,pdb-manip-py-1.4.2,5,4.1e-05,0.000457,pdb-manip-py,0.835887941,41,24.967018484,24.967018484,23.140761134999998,22.803183481999998,11.245380988999997
5,5,5,tqdm-4.65.0,393,0.002428,0.187177,tqdm,0.619815336,1,0.619815336,0.619815336,0.619815336,0.619815336,0.0
6,6,6,contourpy-1.0.7,9,0.000294,0.016168,contourpy,0.805287543,7,2.3706509849999997,2.3706509849999997,0.805287543,0.805287543,0.805287543
7,7,7,cycler-0.11.0,12,0.000319,0.020275,cycler,0.759591482,1,0.759591482,0.759591482,0.759591482,0.759591482,0.759591482
8,8,8,fonttools-4.39.3,29,0.000665,0.026256,fonttools,0.547940771,9,5.657055015,5.657055015,5.390525993,4.9895571709999995,3.187439731
9,9,9,kiwisolver-1.4.4,14,0.000342,0.021345,kiwisolver,0.595092828,1,0.595092828,0.595092828,0.595092828,0.595092828,0.0
10,10,10,numpy-1.24.2,1927,0.024948,1.0,numpy,0.260893907,1,0.260893907,0.260893907,0.0,0.0,0.0
11,11,11,packaging-23.1,273,0.00359,0.169708,packaging,0.593759389,1,0.593759389,0.593759389,0.593759389,0.593759389,0.0
12,12,12,pillow-9.5.0,268,0.002966,0.143346,pillow,0.390081507,1,0.390081507,0.390081507,0.390081507,0.0,0.0
13,13,13,pyparsing-3.0.9,74,0.002492,0.05472,pyparsing,0.573270314,1,0.573270314,0.573270314,0.573270314,0.573270314,0.0
14,14,14,python-dateutil-2.8.2,404,0.005547,0.233324,python-dateutil,0.838665925,3,2.355484647,2.355484647,2.355484647,2.355484647,2.355484647
15,15,15,numpy-1.23.5,219,0.005681,0.190205,numpy,0.260893907,1,0.260893907,0.260893907,0.0,0.0,0.0
16,16,16,numpy-1.21.6,33,0.001736,0.064446,numpy,0.260893907,1,0.260893907,0.260893907,0.0,0.0,0.0
