Package,Score
green,63
holehe,60
jishaku,60
python-whois,60
vk-api,60
aws-encryption-sdk-cli,60
chainer,60
icevision,60
mxnet-cu80,57
mxnet-mkl,60
mxnet-native,60
optimuspyspark,60
stable-baselines,60
tensorflow-tensorboard,60
clip-interrogator,60
daiquiri,60
django-bitfield,59
django-rest-passwordreset,60
django-session-security,60
0x-contract-wrappers,60
0x-order-utils,60
asgi-redis,60
aws-secretsmanager-caching,64
bert-tensorflow,60
betamax,60
betamax-serializers,60
bitmath,60
cefpython3,60
codemod,60
django-bootstrap-v5,60
edgegpt,57
etcd3,60
flask-profiler,60
geomdl,60
gherkin-official,60
gino,64
gnupg,64
labelimg,60
mapbox,60
marshmallow-jsonschema,60
mattermostdriver,60
opencensus-proto,60
pyshorteners,60
sodapy,60
sqlalchemy-hana,63
stacker,60
surprise,60
warcio,60
word2number,60
vaex-viz,60
prefect-sqlalchemy,76
aioredlock,60
airtable,60
alpha-vantage,60
beancount,78
clint,60
countryinfo,60
createsend,60
daff,60
datapackage,60
dhooks,60
django-hstore,60
django-modelcluster,81
django-multiselectfield,60
django-q-sentry,60
django-rest-framework-mongoengine,60
django-vanilla-views,60
easygui,63
exponent-server-sdk,60
flanker,60
flask-testing,60
flex,60
google-images-download,60
instagram-private-api,58
instapy,60
libfaketime,60
lore,60
mailjet-rest,60
matrix-client,60
maya,60
mockredispy,60
mojimoji,60
mongo-connector,60
moz-sql-parser,60
mpi4py-mpich,60
msedge-selenium-tools,60
nameko,63
numerize,59
pinax-notifications,60
price-parser,60
pyactiveresource,60
pybars3,60
py-expression-eval,60
pyicloud,60
pyjks,60
pykmip,60
py-solc-x,60
pytest-git,60
pytest-helpers-namespace,60
pytest-server-fixtures,60
pytest-virtualenv,64
python-chess,60
python-intercom,58
pyxero,78
redo,60
restless,60
sklearn-crfsuite,60
slackeventsapi,60
spark-tensorflow-distributor,60
sparqlwrapper,64
subliminal,63
sumologic-sdk,60
tableschema,60
torch-summary,60
unoconv,60
vobject,60
xstatic-bootstrap-scss,59
yaql,60
ncclient,59
lifetimes,60
meshio,60
pytorchvideo,60
amundsen-rds,61
asserts,61
crispy-bootstrap4,61
flake8-secure-coding-standard,61
pytest-structlog,61
ssh-python,61
tracerite,63
django-easy-select2,61
django-libsass,61
mws,61
prawcore,81
python-vagrant,63
robotframework-jsonlibrary,61
django-celery,61
pandas-ta,61
yake,58
mglearn,66
pyastronomy,61
tbats,61
bravado,61
cfscrape,61
chevron,61
decord,61
