Package,Overall,FinalRiskScore,Score,Id,Label,Degree,Pageranks,Eigencentrality,In_reach
flatbuffers,7.73,0.638825452,99,675,flatbuffers-23.3.3,7,0.000108,0.00444,1
charset-normalizer,7.54,0.753981657,91,33,charset-normalizer-3.1.0,11,0.001572,0.054054,1
requests,7.51,0.515598341,96,31,requests-2.28.2,1915,0.025964,0.906595,27
pyhanko,6.95,0.657217689,87,10775,pyhanko-0.17.2,10,3.9e-05,0.00048,32
defusedxml,6.84,0.934873627,75,485,defusedxml-0.7.1,34,0.000465,0.0176,1
functions-framework,6.76,0.7688418,83,2006,functions-framework-3.3.0,6,3.8e-05,0.00046,19
botocore,6.73,0.294020913,100,567,botocore-1.29.114,20,0.000316,0.00879,18
cryptography,6.59,0.847395434,97,152,cryptography-40.0.2,140,0.003152,0.07871,4
click,6.57,0.786075881,97,143,click-8.1.3,587,0.007014,0.28405,1
aiohttp,6.57,0.327320982,97,59,aiohttp-3.8.4,243,0.002798,0.1081,25
pyarrow,6.54,0.534830208,94,578,pyarrow-11.0.0,37,0.000207,0.01706,4
flask,6.46,0.763313977,97,139,flask-2.2.3,161,0.001773,0.07513,10
twisted,6.46,0.552022574,89,1196,twisted-22.10.0,42,0.000308,0.01502,22
presidio-analyzer,6.46,0.587152631,81,8239,presidio-analyzer-2.2.31,6,4.2e-05,0.00046,124
presidio-anonymizer,6.46,0.588974631,87,8240,presidio-anonymizer-2.2.32,2,4.2e-05,0.00046,2
markupsafe,6.43,0.855779958,93,148,markupsafe-2.1.2,39,0.002057,0.02799,1
certifi,6.41,0.607135444,91,32,certifi-2022.12.7,142,0.003763,0.123986,1
coverage,6.41,0.397446824,97,498,coverage-7.2.3,19,0.000289,0.00896,2
attrs,6.35,0.827546126,96,63,attrs-23.1.0,90,0.001288,0.05565,1
scapy,6.32,0.646791599,88,174,scapy-2.5.0,6,7.1e-05,0.00277,1
jsii,6.32,0.55815574,97,8781,jsii-1.80.0,35,0.000284,0.01591,13
google-cloud-secret-manager,6.27,0.757513973,100,1866,google-cloud-secret-manager-2.7.2,6,3.9e-05,0.00046,59
google-cloud-resource-manager,6.27,0.752782276,94,2653,google-cloud-resource-manager-1.9.1,6,4e-05,0.00052,52
google-cloud-appengine-logging,6.27,0.789872127,100,2010,google-cloud-appengine-logging-1.3.0,6,4.9e-05,0.001,51
google-cloud-datacatalog,6.27,0.750063827,97,3580,google-cloud-datacatalog-2.0.2,6,5.5e-05,0.00057,58
google-cloud-container,6.27,0.751118279,97,13376,google-cloud-container-2.20.0,3,3.5e-05,0.0,51
google-cloud-language,6.27,0.725861571,97,9301,google-cloud-language-2.9.1,4,6.5e-05,0.00046,51
google-cloud-bigquery-datatransfer,6.27,0.747056196,97,8447,google-cloud-bigquery-datatransfer-3.11.1,3,3.5e-05,0.0,51
google-cloud-workflows,6.27,0.774561121,97,3020,google-cloud-workflows-1.10.1,3,3.5e-05,0.0,51
google-cloud-redis,6.27,0.759500125,97,2097,google-cloud-redis-2.12.1,3,3.5e-05,0.0,51
google-cloud-recommendations-ai,6.27,0.78263801,97,5072,google-cloud-recommendations-ai-0.10.3,3,3.5e-05,0.0,51
google-cloud-dataplex,6.27,0.804686013,97,4837,google-cloud-dataplex-1.4.3,4,3.5e-05,0.0,52
google-cloud-dataproc-metastore,6.27,0.785848744,97,4481,google-cloud-dataproc-metastore-1.10.1,4,3.5e-05,0.0,52
google-cloud-orchestration-airflow,6.27,0.789801136,91,5834,google-cloud-orchestration-airflow-1.7.1,3,3.5e-05,0.0,51
google-cloud-memcache,6.27,0.779726908,97,2788,google-cloud-memcache-1.7.1,3,3.5e-05,0.0,51
google-cloud-dataform,6.27,0.812058141,97,4129,google-cloud-dataform-0.5.1,4,3.5e-05,0.0,52
google-cloud-texttospeech,6.27,0.746031872,97,3960,google-cloud-texttospeech-0.2.0,2,4.2e-05,0.00046,47
google-cloud-iam,6.27,0.758703033,93,13055,google-cloud-iam-2.12.0,3,3.5e-05,0.0,51
google-cloud-artifact-registry,6.27,0.774823025,93,7638,google-cloud-artifact-registry-1.8.1,4,3.5e-05,0.0,52
google-cloud-scheduler,6.27,0.754784141,93,11713,google-cloud-scheduler-2.11.0,3,3.5e-05,0.0,51
google-cloud-private-ca,6.27,0.767044412,93,2474,google-cloud-private-ca-1.8.0,4,3.5e-05,0.0,52
google-cloud-os-config,6.27,0.779472389,93,4793,google-cloud-os-config-1.15.1,4,3.9e-05,0.00046,51
google-cloud-certificate-manager,6.27,0.811758683,88,12597,google-cloud-certificate-manager-1.4.2,3,3.5e-05,0.0,51
google-cloud-dialogflow-cx,6.27,0.762607008,93,9424,google-cloud-dialogflow-cx-1.20.1,3,3.5e-05,0.0,51
google-cloud-recaptcha-enterprise,6.27,0.768566551,93,9754,google-cloud-recaptcha-enterprise-1.12.0,3,3.5e-05,0.0,51
google-cloud-batch,6.27,0.799077981,93,5520,google-cloud-batch-0.10.0,3,3.5e-05,0.0,51
google-cloud-functions,6.27,0.77691577,93,9751,google-cloud-functions-1.12.0,4,3.5e-05,0.0,52
google-cloud-billing,6.27,0.779580041,93,1861,google-cloud-billing-1.10.1,4,3.5e-05,0.0,52
google-cloud-dialogflow,6.27,0.748201867,93,2270,google-cloud-dialogflow-2.21.0,3,3.5e-05,0.0,51
google-cloud-notebooks,6.27,0.782560894,93,3739,google-cloud-notebooks-1.6.1,6,3.9e-05,0.00046,52
google-cloud-documentai,6.27,0.762858654,93,1297,google-cloud-documentai-2.15.0,4,4.1e-05,0.00046,51
google-cloud-bigquery-reservation,6.27,0.763335537,93,10834,google-cloud-bigquery-reservation-1.11.1,3,3.5e-05,0.0,51
matplotlib,6.24,0.396813469,94,1,matplotlib-3.7.1,655,0.004566,0.303955,28
structlog,6.24,0.639746224,93,1639,structlog-23.1.0,10,0.000124,0.00473,1
tables,6.24,0.625031466,94,1430,tables-3.8.0,23,0.000151,0.00754,9
pillow,6.19,0.390081507,97,12,pillow-9.5.0,268,0.002966,0.143346,1
tensorflow-io-gcs-filesystem,6.16,0.6379584,94,685,tensorflow-io-gcs-filesystem-0.32.0,2,5.3e-05,0.002,1
gvm-tools,6.16,0.614065304,81,10895,gvm-tools-23.3.0,1,3.5e-05,0.0,12
yarl,6.11,0.580524187,90,66,yarl-1.8.2,44,0.000646,0.02443,7
redis,6.05,0.790196394,94,439,redis-4.5.4,53,0.00066,0.02387,3
black,6.05,0.502538595,100,3045,black-23.3.0,20,0.000144,0.00649,7
cachetools,6.0,0.775973642,87,621,cachetools-5.3.0,35,0.000457,0.01859,1
azure-core,6.0,0.411453435,96,751,azure-core-1.26.4,15,0.000161,0.00606,30
azure-storage-blob,6.0,0.410265266,96,1098,azure-storage-blob-12.16.0,11,6.9e-05,0.00292,32
azure-common,6.0,0.411555059,88,6120,azure-common-1.1.28,4,7.8e-05,0.00209,1
azure-identity,6.0,0.411563994,96,1589,azure-identity-1.12.0,7,4.2e-05,0.00094,37
azure-keyvault-secrets,6.0,0.413309604,94,7031,azure-keyvault-secrets-4.7.0,5,4.6e-05,0.00048,33
azure-keyvault,6.0,0.412988704,88,7026,azure-keyvault-4.1.0,4,3.9e-05,0.00046,47
azure-cosmos,6.0,0.412560134,96,746,azure-cosmos-4.3.1,2,3.7e-05,0.00046,31
azure-servicebus,6.0,0.409931417,96,1577,azure-servicebus-7.9.0,5,3.6e-05,0.00046,33
azure-keyvault-keys,6.0,0.412461382,94,7030,azure-keyvault-keys-4.8.0,6,4.6e-05,0.00048,34
azure-keyvault-certificates,6.0,0.413258936,91,7025,azure-keyvault-certificates-4.2.1,5,5e-05,0.00094,44
onnx,5.97,0.634468486,85,9716,onnx-1.13.1,10,9.4e-05,0.00333,4
bokeh,5.95,0.585996621,100,388,bokeh-3.1.0,27,0.000124,0.00759,28
werkzeug,5.92,0.551480512,97,146,werkzeug-2.2.3,49,0.000752,0.02713,2
multidict,5.92,0.609892488,88,65,multidict-6.0.4,25,0.000773,0.0209,1
pytest,5.86,0.456905797,97,500,pytest-7.3.1,124,0.001057,0.05609,10
google-cloud,5.86,0.629320066,83,8630,google-cloud-0.34.0,2,5.2e-05,0.00091,1
docker-compose,5.86,0.516836621,70,1349,docker-compose-1.29.2,13,4.2e-05,0.00091,54
pyparsing,5.84,0.573270314,94,13,pyparsing-3.0.9,74,0.002492,0.05472,1
python-gvm,5.78,0.611608049,78,10896,python-gvm-23.4.0,4,6.5e-05,0.00046,11
apache-libcloud,5.78,0.637813862,93,5076,apache-libcloud-3.7.0,2,3.9e-05,0.00046,28
seaborn,5.76,0.603997133,94,750,seaborn-0.12.2,103,0.000422,0.04387,36
tensorstore,5.76,0.693362502,91,6536,tensorstore-0.1.35,5,5.1e-05,0.00196,2
async-lru,5.73,0.795397993,94,11804,async-lru-2.0.2,2,4.5e-05,0.00048,2
mne,5.7,0.477595761,93,2675,mne-1.3.1,15,5.6e-05,0.00231,73
schema-salad,5.7,0.70710758,84,4810,schema-salad-8.4.20230213094415,9,6.2e-05,0.00144,39
zipp,5.68,0.685200734,82,194,zipp-3.15.0,15,0.000858,0.00885,1
gitpython,5.68,0.671641247,97,1369,gitpython-3.1.31,90,0.000933,0.04142,3
httpx,5.68,0.551984718,100,648,httpx-0.24.0,72,0.000787,0.03108,12
httpcore,5.68,0.747009623,88,659,httpcore-0.17.0,7,0.000164,0.00285,6
configparser,5.68,0.91594428,81,806,configparser-5.3.0,34,0.000398,0.01595,1
python-gitlab,5.68,0.654795681,100,1550,python-gitlab-3.14.0,10,9.3e-05,0.00372,35
lxml,5.65,0.266529022,91,228,lxml-4.9.2,291,0.003007,0.13769,1
opencensus,5.65,0.718518538,94,369,opencensus-0.11.2,4,4.2e-05,0.00107,51
opencensus-ext-azure,5.65,0.719258477,94,1580,opencensus-ext-azure-1.1.9,6,3.6e-05,0.00046,62
opencensus-context,5.65,0.720072281,87,1593,opencensus-context-0.1.3,1,5.3e-05,0.00051,1
google-events,5.65,0.757784646,84,2859,google-events-0.5.0,2,3.5e-05,0.0,4
wheel,5.62,0.643444469,91,274,wheel-0.40.0,58,0.000893,0.02821,1
pygments,5.62,0.627188997,91,57,pygments-2.15.0,117,0.001492,0.06241,1
onnxconverter-common,5.62,0.624765252,87,10965,onnxconverter-common-1.13.0,6,5.8e-05,0.00098,6
pyhanko-certvalidator,5.62,0.649761218,73,10774,pyhanko-certvalidator-0.20.1,7,4.2e-05,0.00096,21
blspy,5.62,0.739041742,69,5030,blspy-1.0.16,3,9e-05,0.00096,2
praw,5.62,0.658652797,93,2869,praw-7.7.0,7,6e-05,0.00185,31
ax-platform,5.62,0.578766216,89,12230,ax-platform-0.2.0,8,4.5e-05,0.00046,76
platformdirs,5.59,0.614898023,88,385,platformdirs-3.2.0,22,0.000377,0.01269,1
msal,5.59,0.616765952,94,1591,msal-1.21.0,5,6e-05,0.00098,31
yt-dlp,5.59,0.565168642,85,12072,yt-dlp-2023.3.4,6,4.2e-05,0.00046,6
scrapy,5.59,0.587913223,97,1525,scrapy-2.8.0,21,7.4e-05,0.00139,56
zarr,5.59,0.636913193,90,3065,zarr-2.14.2,11,5.8e-05,0.00281,7
pycparser,5.57,0.722789175,81,156,pycparser-2.21,9,0.002986,0.00599,1
pycryptodomex,5.57,0.651675483,91,137,pycryptodomex-3.17,25,0.000327,0.01216,1
pycryptodome,5.57,0.634173958,91,112,pycryptodome-3.17,47,0.000704,0.02287,1
google-cloud-pubsub,5.57,0.716712464,94,1363,google-cloud-pubsub-2.16.0,9,4.9e-05,0.00137,52
hiredis,5.57,0.576936617,83,441,hiredis-2.2.2,3,0.000342,0.00253,1
django,5.54,0.544936339,96,318,django-4.2,98,0.002142,0.04662,4
constructs,5.54,0.568188515,94,9372,constructs-3.4.293,26,0.000161,0.01253,14
connexion,5.54,0.531633269,91,210,connexion-2.14.1,10,4e-05,0.00046,59
mediapipe,5.54,0.74221309,91,1492,mediapipe-0.9.2.1,15,8.5e-05,0.00274,35
importlib-metadata,5.51,0.738331031,90,186,importlib-metadata-6.5.0,15,0.00014,0.00881,2
grpcio,5.51,0.671641247,88,358,grpcio-1.53.0,81,0.001337,0.04742,1
grpcio-tools,5.51,0.671641247,88,1267,grpcio-tools-1.48.2,8,5.5e-05,0.00137,7
absl-py,5.51,0.671641247,94,673,absl-py-1.4.0,40,0.000328,0.02078,1
sentry-sdk,5.51,0.597955601,100,1302,sentry-sdk-1.19.1,17,0.000118,0.00562,32
mlflow,5.51,0.488109612,94,6823,mlflow-1.15.0,20,3.8e-05,0.00048,85
astropy,5.51,0.470102579,97,828,astropy-5.2.2,124,0.000882,0.05663,7
frozenlist,5.49,0.69515444,91,64,frozenlist-1.3.3,8,0.00041,0.00938,1
google-api-python-client,5.49,0.654472303,100,609,google-api-python-client-2.85.0,83,0.000684,0.03477,66
cycler,5.49,0.759591482,88,7,cycler-0.11.0,12,0.000319,0.020275,1
google-cloud-bigquery-storage,5.49,0.7454911,94,2666,google-cloud-bigquery-storage-2.19.1,9,4.7e-05,0.00192,60
google-cloud-firestore,5.49,0.731906354,94,1257,google-cloud-firestore-2.11.0,6,4.6e-05,0.00096,61
libcst,5.49,0.583152547,97,1869,libcst-0.4.9,11,9.7e-05,0.00384,6
ujson,5.49,0.651022415,91,562,ujson-5.7.0,36,0.000369,0.01748,1
service-identity,5.49,0.707211381,85,1202,service-identity-21.1.0,17,0.000118,0.00548,11
cwl-utils,5.49,0.767310622,81,9931,cwl-utils-0.16,7,3.7e-05,0.00046,43
async-timeout,5.43,0.758138026,94,62,async-timeout-4.0.2,31,0.000926,0.02149,1
oauthlib,5.43,0.814313573,97,294,oauthlib-3.2.2,23,0.000299,0.01102,9
dnspython,5.43,0.712805703,91,134,dnspython-2.3.0,27,0.001,0.01394,1
opentelemetry-api,5.43,0.540125436,100,3488,opentelemetry-api-1.17.0,14,0.00018,0.00532,6
opentelemetry-sdk,5.43,0.540153946,100,5269,opentelemetry-sdk-1.8.0,8,8.2e-05,0.00288,5
opentelemetry-proto,5.43,0.541015709,100,5273,opentelemetry-proto-1.8.0,3,4.9e-05,0.00096,2
opentelemetry-exporter-otlp-proto-http,5.43,0.542131325,100,5272,opentelemetry-exporter-otlp-proto-http-1.8.0,7,5e-05,0.00048,45
opentelemetry-exporter-otlp-proto-grpc,5.43,0.541781292,100,5271,opentelemetry-exporter-otlp-proto-grpc-1.8.0,7,5e-05,0.00048,19
opentelemetry-exporter-otlp,5.43,0.541198794,97,5253,opentelemetry-exporter-otlp-1.8.0,3,3.6e-05,0.00046,48
pydicom,5.43,0.711879052,88,849,pydicom-2.3.1,8,0.000136,0.0037,1
numcodecs,5.43,0.589445085,80,3063,numcodecs-0.11.0,9,6.7e-05,0.0029,4
aiocache,5.43,0.758638358,90,915,aiocache-0.12.0,2,6.3e-05,0.00094,1
opentelemetry-exporter-zipkin-json,5.43,0.541814944,93,5275,opentelemetry-exporter-zipkin-json-1.8.0,5,5.9e-05,0.00096,33
opentelemetry-exporter-zipkin-proto-http,5.43,0.541814944,93,5276,opentelemetry-exporter-zipkin-proto-http-1.8.0,6,5e-05,0.00048,35
